targets,week,recipe_id,recipe_title,display,ingredient_item,grams_resolved,grams_source,recipe_concept_key,resolution_tier,priced_concept_key,selected_packages,purchase_grams,purchase_cost
chicken,7,283198,Crock Pot Chicken and Dumplings,1 chicken bouillon cube,chicken bouillon cube,4.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0A10084,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2380.7,3.26
chicken,7,131750,Crock Pot Chicken and Stuffing,4 boneless skinless chicken breasts,boneless skinless chicken breasts,680.00,blob,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"2x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",2721.6,15.14
chicken,7,131750,Crock Pot Chicken and Stuffing,1 package (6 oz) chicken-flavored Stove Top stuffing mix,chicken-flavored stuffing mix,170.00,blob,Pantry > Stuffing Mixes > Stuffing Mix|J0VJ080M,exact,Pantry > Stuffing Mixes > Stuffing Mix|J0VJ080M,"1x Great Value Turkey Flavored Stuffing Mix, 6 oz",170.1,0.98
chicken,7,131750,Crock Pot Chicken and Stuffing,1 cup chicken broth,chicken broth,240.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2380.7,3.26
chicken,7,321265,Creamy Roasted Red Bell Pepper Soup,2 cans (14.5 oz each) chicken broth,chicken broth,822.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2380.7,3.26
chicken,8,159640,Chunky Tomato Soup,1 can (14 oz) chicken broth,chicken broth,411.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"4x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1715.3,2.88
cheddar,8,159640,Chunky Tomato Soup,3⁄4 cup finely shredded cheddar cheese,cheddar cheese,84.75,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"2x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",473.2,3.94
chicken,8,464710,Lemon Pepper Chicken Breast with Grilled Chicken and Sautéed Peppers,4 boneless skinless chicken breasts,boneless skinless chicken breasts,680.00,blob,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
chicken,8,47785,Slow Cooker Black Bean and Corn Chicken Soup,4 boneless skinless chicken breasts,boneless skinless chicken breasts,680.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"1x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",1360.8,7.57
cheddar,8,47785,Slow Cooker Black Bean and Corn Chicken Soup,"1/2 cup grated cheddar cheese, for topping",cheddar cheese,56.50,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"2x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",473.2,3.94
cheddar,8,182898,Black Bean and Cheese Enchiladas,"1/2 cup cheddar cheese, shredded",cheddar cheese,56.50,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"2x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",473.2,3.94
chicken,8,49737,Copycat Panera Bread Black Bean Soup,2 small chicken bouillon cubes,chicken bouillon cubes,8.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0A1000~,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"4x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1715.3,2.88
cheddar,8,287891,Sweet Bean Burritos,"1 cup sharp cheddar cheese, shredded",sharp cheddar cheese,113.00,deterministic_modal_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"2x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",473.2,3.94
cheddar,8,50824,Easy Veggie Enchiladas with Quick Sauce,"1 1/2 cups sharp cheddar cheese, shredded",sharp cheddar cheese,170.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"2x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",473.2,3.94
cream_cheese,8,277522,IHOP Cinn-A-Stack Cinnamon French Toast,"4 ounces cream cheese, softened",cream cheese,113.40,deterministic_modal_normalized,Dairy > Cheese > Cream Cheese|1103600W,exact,Dairy > Cheese > Cream Cheese|1103600W,1x Kroger® Original Cream Cheese,226.8,1.99
chicken,8,488160,Sunshine's Grilled Corn Grits,2 cups chicken broth,chicken broth,480.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"4x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1715.3,2.88
chicken,8,10884,Kremithosoupa (Greek Onion and Tomato Soup),"Meat broth, optional, as needed (about 1 cup)",meat broth,240.00,blob,Pantry > Broth & Stock > Chicken Broth|J9JY600U,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"4x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1715.3,2.88
fresh_tomato,8,424544,Black Bean and Roma Tomato Soup,"1 roma tomato, chopped",roma tomato,62.00,reviewed_household_portion_normalized,Produce > Vegetables > Tomatoes|6701100*,exact,Produce > Vegetables > Tomatoes|6701100*,1x Fresh Red Tomatoes,272.2,1.19
chicken,8,424544,Black Bean and Roma Tomato Soup,2 cups chicken broth,chicken broth,480.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"4x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1715.3,2.88
cheddar,9,336441,Crustless Broccoli-Cheddar Quiches,3⁄4 cup shredded cheddar cheese,cheddar cheese,84.75,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"2x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",473.2,3.94
chicken,9,488160,Sunshine's Grilled Corn Grits,2 cups chicken broth,chicken broth,480.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 3x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2262.4,3.43
chicken,9,424544,Black Bean and Roma Tomato Soup,2 cups chicken broth,chicken broth,480.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 3x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2262.4,3.43
chicken,9,383188,Herb Butter Chicken Breasts,"4 boneless skinless chicken breasts, about 6 oz each",boneless skinless chicken breasts,680.00,blob,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"2x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",2721.6,15.14
chicken,9,434634,Chicken Zucchini Quesadillas,"1 lb boneless skinless chicken breasts, cut into small pieces after cooking",boneless skinless chicken breasts,453.60,deterministic_modal_normalized,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"2x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",2721.6,15.14
chicken,9,439281,Lighter Broccoli Cheese Soup,14 1/2 ounces reduced sodium chicken broth,reduced sodium chicken broth,411.00,blob,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 3x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2262.4,3.43
cheddar,9,439281,Lighter Broccoli Cheese Soup,1 cup shredded reduced fat cheddar cheese,reduced fat cheddar cheese,113.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"2x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",473.2,3.94
cheddar,9,439281,Lighter Broccoli Cheese Soup,"Extra shredded reduced fat cheddar cheese, for garnish (optional)",reduced fat cheddar cheese,30.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"2x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",473.2,3.94
chicken,9,84802,Chicken Burrito Soup,1 (16 ounce) can chicken broth,chicken broth,454.00,blob,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 3x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2262.4,3.43
chicken,9,84802,Chicken Burrito Soup,1 1/2 lbs boneless skinless chicken breast,boneless skinless chicken breast,680.40,deterministic_modal_normalized,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"2x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",2721.6,15.14
chicken,9,206950,Crock Pot Chicken Taco Corn Soup,"3 boneless skinless chicken breasts, cut into three pieces",boneless skinless chicken breasts,510.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"2x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",2721.6,15.14
chicken,9,206950,Crock Pot Chicken Taco Corn Soup,1 can (15 oz) low-sodium chicken broth,low-sodium chicken broth,425.00,blob,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 3x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2262.4,3.43
cheddar,9,206950,Crock Pot Chicken Taco Corn Soup,"1/4 cup low-fat cheddar cheese, grated, for topping (optional)",low-fat cheddar cheese,30.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"2x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",473.2,3.94
chicken,9,220859,Santa Fe Chicken Tacos,"1 lb boneless skinless chicken breasts, cut into 1/2-inch chunks",boneless skinless chicken breasts,453.60,deterministic_modal_normalized,Meat & Seafood > Poultry > Chicken Breast|3001000K,exact,Meat & Seafood > Poultry > Chicken Breast|3001000K,"2x Marketside Antibiotic-Free Boneless Skinless Chicken Breasts, 1.3 - 3.0 lb",2721.6,15.14
cheddar,9,220859,Santa Fe Chicken Tacos,"2 cups low-fat cheddar cheese, shredded",low-fat cheddar cheese,226.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"2x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",473.2,3.94
chicken,9,331105,HG's Pumpkinlicious Veggie Soup (0 WW Points),4 cups fat-free chicken broth (or fat-free vegetable broth),fat-free chicken broth,820.00,usda_sr28_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"1x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 3x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",2262.4,3.43
chicken,10,367524,Roasted Red Pepper Soup,24 ounces chicken broth,chicken broth,680.00,blob,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",857.6,1.44
chicken,10,230769,Honey Mustard Grilled Chicken Drumsticks,"8 chicken drumsticks, slashed",chicken drumsticks,640.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,exact,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,"3x Marketside Antibiotic-Free Chicken Drumsticks, 1.5 - 2.2 lb",2993.7,10.11
chicken,10,487367,Popeye's Style Oven Fried Chicken Drumsticks,"10 chicken drumsticks, thawed",chicken drumsticks,800.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,exact,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,"3x Marketside Antibiotic-Free Chicken Drumsticks, 1.5 - 2.2 lb",2993.7,10.11
chicken,10,397620,Baked Chicken Drumsticks with Tangy Marinade,1 kg (8 to 12) chicken drumsticks,chicken drumsticks,1000.00,range_clamped_to_blob,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,exact,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,"3x Marketside Antibiotic-Free Chicken Drumsticks, 1.5 - 2.2 lb",2993.7,10.11
chicken,10,210954,Light Broccoli Soup,2 cups fat-free chicken broth,fat-free chicken broth,410.00,usda_sr28_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"2x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",857.6,1.44
chicken,11,474436,Crock Pot Fried Chicken,"18 chicken drumsticks, skin-on, bone-in",chicken drumsticks,1440.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,exact,Meat & Seafood > Poultry > Chicken Drumsticks|300G000Z,"1x Marketside Antibiotic-Free Chicken Drumsticks, 1.5 - 2.2 lb",997.9,3.37
chicken,11,495735,Zesty Cheese Soup,1 can (10.5 ounces) chicken broth,chicken broth,411.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1286.4,2.16
chicken,11,387420,Honey-Mustard Chicken Drumsticks,"8 chicken drumsticks, skin removed and patted dry",chicken drumsticks,640.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G400M,path_only,Meat & Seafood > Poultry > Chicken Drumsticks|300G100K,1x Foster Farms Fresh & Natural Cage Free Chicken Drumsticks,1020.6,4.4
cheddar,11,75872,Creamy Baked Potato Boats with Cheese,"1⁄4 lb sharp cheddar cheese, grated",sharp cheddar cheese,113.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
pork,11,62734,BLT Burritos,"12 slices bacon, cooked crisp and crumbled",bacon,192.00,reviewed_household_portion_normalized,Meat & Seafood > Bacon|2402037X,path_only,Meat & Seafood > Bacon|2402840*,1x Jimmy Dean Premium Bacon Hickory Smoked,340.2,3.99
cheddar,11,117405,Bacon Corn Pancakes,"1/2 cup sharp cheddar cheese, grated",sharp cheddar cheese,56.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
pork,11,117405,Bacon Corn Pancakes,"1/2 cup cooked bacon, diced",cooked bacon,72.00,usda_sr28_normalized,Meat & Seafood > Bacon|2402038Y,path_only,Meat & Seafood > Bacon|2402840*,1x Jimmy Dean Premium Bacon Hickory Smoked,340.2,3.99
cheddar,11,208401,Crispy Potato and Jalapeño Rolled Tacos,1/2 cup shredded cheddar cheese,cheddar cheese,56.50,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
fresh_tomato,11,322460,Black Bean and Goat Cheese Quesadillas,"1 medium tomato, seeded and coarsely chopped",tomato,123.00,reviewed_household_portion_normalized,Produce > Vegetables > Tomatoes|6701100*,exact,Produce > Vegetables > Tomatoes|6701100*,1x Fresh Red Tomatoes,272.2,1.19
cheddar,11,124641,Baked Omelet Roll,"1 cup cheddar cheese, grated",cheddar cheese,113.00,deterministic_modal_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
pork,11,357817,Bacon Bean Soup,"4 slices bacon, diced",bacon,64.00,reviewed_household_portion_normalized,Meat & Seafood > Bacon|24020088,path_only,Meat & Seafood > Bacon|2402840*,1x Jimmy Dean Premium Bacon Hickory Smoked,340.2,3.99
chicken,11,357817,Bacon Bean Soup,1 can (15 oz) chicken broth,chicken broth,411.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1286.4,2.16
chicken,11,347403,Smoky Black Bean Soup,2 cups chicken broth or vegetable broth,chicken broth,480.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",1286.4,2.16
chicken,12,56488,Broccoli and Cheese Soup,2 cans (14.5 ounces each) chicken broth,chicken broth,822.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",3356.6,4.53
chicken,12,325490,Omar's Chicken Soup,1 cup chicken broth,chicken broth,240.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",3356.6,4.53
fresh_tomato,12,234527,Easy Skillet Corn Frittata,"1 small tomato, peeled and sliced",tomato,123.00,reviewed_household_portion_normalized,Produce > Vegetables > Tomatoes|6701100*,exact,Produce > Vegetables > Tomatoes|6701100*,1x Fresh Red Tomatoes,272.2,1.19
cheddar,12,234527,Easy Skillet Corn Frittata,"1/2 cup cheddar cheese, shredded",cheddar cheese,56.50,reviewed_household_portion_normalized,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
fresh_tomato,12,182031,Delicious Tomato White Pizza,"1–2 Roma tomatoes, chopped",Roma tomato,150.00,range_lower_bound,Produce > Vegetables > Tomatoes|6701100*,exact,Produce > Vegetables > Tomatoes|6701100*,1x Fresh Red Tomatoes,272.2,1.19
chicken,12,473026,Immune-Boosting Broth Soup,64 ounces organic chicken broth (or vegetable broth),chicken broth,1814.40,deterministic_modal_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",3356.6,4.53
chicken,12,510598,Creamy Vegetable Chowder,2 1/2 cups chicken broth,chicken broth,600.00,reviewed_household_portion_normalized,Pantry > Broth & Stock > Chicken Broth|J0066005,exact,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",3356.6,4.53
cheddar,12,118172,Macaroni and Cheese Soup,1 cup shredded cheddar cheese,cheddar cheese,113.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
pork,12,356525,Bacon and Bagel Sandwiches (Low-Fat Version),4 slices turkey bacon,turkey bacon,44.00,reviewed_household_portion_normalized,Meat & Seafood > Bacon > Turkey Bacon|310Q000V,exact,Meat & Seafood > Bacon > Turkey Bacon|310Q000V,"1x Oscar Mayer Gluten Free Turkey Bacon with 58% Less Fat & 57% Less Sodium, 12 oz Pack, 21-23 slices",340.2,4.48
chicken,12,11260,Cheesy Sesame-Coated Baked Chicken Drumsticks,"8 chicken drumsticks, skin removed and patted dry",chicken drumsticks,640.00,reviewed_household_portion_normalized,Meat & Seafood > Poultry > Chicken Drumsticks|300G400M,path_only,Meat & Seafood > Poultry > Chicken Drumsticks|300G100K,1x Foster Farms Fresh & Natural Cage Free Chicken Drumsticks,1020.6,4.4
chicken,12,11260,Cheesy Sesame-Coated Baked Chicken Drumsticks,1 teaspoon chicken stock powder,chicken stock powder,5.00,deterministic_modal_normalized,Pantry > Broth & Stock > Chicken Broth|J5T6500D,path_only,Pantry > Broth & Stock > Chicken Broth|J0066005,"3x Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable) | 1x Great Value Chicken Broth, 14.5 oz (Shelf-Stable)",3356.6,4.53
cheddar,12,463560,Butter Bean Burgers,"1/2 cup sharp cheddar cheese, shredded",sharp cheddar cheese,56.00,blob,Dairy > Cheese > Cheddar|1101005P,exact,Dairy > Cheese > Cheddar|1101005P,"1x Great Value Mild Cheddar Shredded Cheese, 8 oz Bag",236.6,1.97
