kind,item,unit,grams_per_unit,reason,evidence,message
OUT_OF_RANGE,black cardamom pods,piece,0.4,One black cardamom pod ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_black_cardamom_pods_piece_20260415),"piece typical 1-500g, got 0.4g"
OUT_OF_RANGE,black cardamom pods,count,0.4,One black cardamom pod ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_black_cardamom_pods_count_20260415),"count typical 1-1500g, got 0.4g"
OUT_OF_RANGE,gallon vanilla ice cream,piece,2840,One gallon vanilla ice cream ~2840g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_gallon_vanilla_ice_cream_piece_20260415),"piece typical 1-500g, got 2840.0g"
OUT_OF_RANGE,gallon vanilla ice cream,count,2840,One gallon vanilla ice cream ~2840g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_gallon_vanilla_ice_cream_count_20260415),"count typical 1-1500g, got 2840.0g"
OUT_OF_RANGE,fresh dill,sprig,0.4,One fresh dill sprig ~0.4g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_fresh_dill_sprig_20260415),"sprig typical 1-25g, got 0.4g"
OUT_OF_RANGE,cornish hens,piece,750,One cornish hen ~750g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_cornish_hens_piece_20260415),"piece typical 1-500g, got 750.0g"
OUT_OF_RANGE,whole clove,piece,0.05,One whole clove ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_whole_clove_piece_20260415),"piece typical 1-500g, got 0.05g"
OUT_OF_RANGE,whole clove,count,0.05,One whole clove ~0.05g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_dgx_whole_clove_count_20260415),"count typical 1-1500g, got 0.05g"
OUT_OF_RANGE,*,leaf,0.5,Generic leaf fallback (herbs).,migrated from implementation/reviewed_household_unit_gram_rules.csv (generic_leaf_fallback_001),"leaf typical 1-30g, got 0.5g"
OUT_OF_RANGE,cilantro,cup,16,Fresh cilantro cup ~16g (chopped herb).,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_fresh_cilantro_cup),"cup typical 40-350g, got 16.0g"
OUT_OF_RANGE,cilantro,tbsp,1,Fresh cilantro tablespoon ~1g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_fresh_cilantro_tbsp),"tbsp typical 3-30g, got 1.0g"
OUT_OF_RANGE,dried parsley,tsp,0.6,USDA tsp dried parsley flakes = 0.6g.,migrated from implementation/reviewed_household_unit_gram_rules.csv (claude_phase_n_parsley_tsp),"tsp typical 1-12g, got 0.6g"
